"published_date","published_platform","rating","type","helpful_votes","title","text"
"2020-03-04T16:50:48-05:00","Desktop","5","review","0","A dream of all to study here","While in Boston area for attending family functions, we decided to go around the campus of one of the most prestigious Institution of the world situated in Boston area of Massachusetts, USA – The Harvard University. 

The campus is huge, very impressive & most beautiful. This is an Institution of “Knowledge and Research”. 

It was a snow & rainy day of February month and was very cold making visitors hard to go around. 

Campus layout, building architecture and statues are very impressive. 

Observe the shining toe of the left shoe – it looks as if the visitors touch the toe with hands and rub it as respect to the Sir John Harvard. 

It is a dream of all to study here.

Must visit while in Boston area!"
"2020-03-04T03:44:15-05:00","Mobile","5","review","0","Brilliant Tour","Yesterday my partner and I booked on a Harvard University tour with a fabulous guide, Teresa. From the first second she was engaging and entertaining. 
We thoroughly enjoyed the experience, being shown around this beautiful campus and listening to a variety of humorous anecdotes as well as being given a wealth of knowledgeable information.
This was a great day and I highly recommend this trip! Boston is a beautiful city and Harvard is a must!"
"2020-02-23T06:12:10-05:00","Desktop","5","review","1","Scenic Campus","Nice campus to walk around.  Several museums to visit as well.  Worth a visit if you are in the Boston area."
"2020-02-09T03:11:33-05:00","Mobile","5","review","0","Great tour guide","Excellent value for money tour that was made for us by Mike our tour guide who was fantastic. Operated by trademark tours. "
"2020-02-07T17:14:00-05:00","Mobile","5","review","0","Harvard Trade Union Program","I’m attending the Harvard Trade Union Program, which is part of the law school. It’s amazing! The amount of super smart people (students and professors) is outstanding. "
"2020-02-01T17:25:33-05:00","Mobile","4","review","0","Just as I had imagined it from the films","What a beautiful campus, definitely recommend for any folks that want to see this university campus up close and don’t have the fortune to be accepted for or have the funds to afford such a prestigious school in the US. 

It holds so much history and has been the alma mater for many of our past presidents, i.e., John Adams, John Quincy Adams, Rutherford B. Hayes, JFK, FDR, Teddy Roosevelt, George W and our last president, Barack Obama. 

I hope it’s still true today, that the students that attend and graduate from here adhere and believe the mission statement of the university, the gate plaque “enter to grow in wisdom.” "
"2020-01-30T16:19:38-05:00","Mobile","5","review","2","College visit","Harvard has a beautiful campus! I was surprised that the new buildings were not done in a complimentary architectural style..."
"2020-01-10T17:06:27-05:00","Desktop","5","review","0","Must visit for Boston Stay","The minute you step into the university area, you just feel yourself getting younger and more energetic, especially with the most intelligent students around you. "
"2020-01-02T05:51:16-05:00","Mobile","2","review","0","Underwhelmed ","You would think a college of such caliber would have well maintained grounds and state of the art facilities but that is not the case. We stepped into a University with dim lighting and mud covered pathways. There wasn’t anywhere to sit and it looked like a ghost town. Understood it’s winter break but what a dreary place."
"2019-12-23T23:50:59-05:00","Desktop","4","review","0","Interesting and worth a visit","Harvard University is a world-renowned institution, a leading institution of knowlrdge and research, and many Harvard graduates play key roles in their respective countries. During our visit to Harvard Yard and meeting with students, we were impressed with the university atmosphere, and heard interesting stories about the place."
"2019-12-18T01:18:12-05:00","Mobile","4","review","2","Impressive,imposing and old world charm ","A very cold and snowy day in Boston saw us off in an uber to visit the university. We started with a coffee at Tatte, which gave us a good view of the library and then walked round the campus. Out of term time, it’s still quite busy which gave a good indication of how it might feel on a normal day. Coming from the country of Oxbridge, I wouldn’t say we were wowed but it’s well worth a visit. "
"2019-12-11T11:42:13-05:00","Mobile","4","review","2","Visiting Boston ","Why not, few stops on the red line brings you right on to Harvard Square. What a beautiful lot of buildings.... "
"2019-12-08T07:58:13-05:00","Desktop","4","review","0","We took the Harvard Tour and it was fun - even in the rain","As English tourists to Boston, we made sure we took one of the tours around the University that is known throughout the world.  Despite the drizzle, we waited for our guide by the newstand even though the area seems to collect a few lost souls!  Our guide took us around the campus and explained some of the history and antics and told us of many past students - quite revealing in itself.  We did feel a little pressured to tip but chose to do so anyway."
"2019-11-30T04:11:22-05:00","Desktop","4","review","0","Visited Harvard Yard","On our Gray Line Tour we drove around Harvard a little bit before stopping and walking in to Harvard Yard. Learned a little bit about the University and appreciated the buildings that surrounded the yard. Not exactly what I was expecting, but glad to have gone there."
"2019-11-22T11:00:57-05:00","Mobile","5","review","2","Harvard Tour","Thank you Elizabeth for a great tour. My daughter and I were visiting from Nashville and this was our first trip to Harvard. We enjoyed the history and the campus atmosphere. Great job making our tour fun!!"
"2019-11-20T15:12:32-05:00","Mobile","5","review","3","Awe Inspiring ","If you have always wanted to visit an Ivy League college, HARVARD is a must see.  It is the oldest college in the country, and the historic buildings, grounds, and statues are sure to impress."
"2019-11-19T21:50:49-05:00","Mobile","5","review","0","So very interesting ","We went on a complimentary tour of Harvard. We arrived on the train and we were advised by the ticket office to go to the glass building where the tour would be leaving from.
Our tour guide was a freshman from Houston . I cannot praise him enough for his knowledge and enthusiasm for Harvard and the information he gave us.
Harvard is an amazing place and I would recommend this tour not because it is free but because you are shown around by a first year student.  We learnt so much so thank you . "
"2019-11-19T06:10:43-05:00","Desktop","5","review","0","Harvard Yard is probably the best part.","The Harvard campus is a beautiful and historic place to experience calm, mature trees, and beautiful red brick buildings. If the Memorial hall is open it is worth going in."
"2019-11-17T11:57:10-05:00","Mobile","5","review","2","Ivy League Tour. ","I was recently in Boston and took a free tour (hostel hosted) to Harvard. Our tour leader was very informative with all the details this university rich in history offers.  I recommend it if you want to say ‘ I have been to Harvard.’  Not to mention the city of Cambridge is cute little place that has tons to offer!  It’s only 4 stops away from Boston Common via train using the red line. "
"2019-11-14T17:23:25-05:00","Desktop","5","review","0","Perfect tour","I had the walking tour with students guides. My guide Rody was great, very funny and with great explanation of important places in Harvard. Really recommend to take this tour!"
"2019-11-12T09:20:56-05:00","Desktop","5","review","0","A Beautiful Place!","A great place to walk around. A very cool atmosphere and look to everything. I highly recommend coming to see it if you're in the area."
"2019-11-11T03:33:28-05:00","Desktop","5","review","0","Student Tour:  Best buy in Boston!","The student led tour of the Harvard campus was informative and interesting.  Our student guide, Piper, was entertaining and knowledgeable.  She told the history of the school and buildings, while injecting the student perspective of life at Harvard.  "
"2019-11-10T17:28:09-05:00","Mobile","5","review","0","Academic Excellence World Class!","We took a tour and were enthralled! Please keep this institution going. Absolutely wonderful and an important beacon for freedom!"
"2019-11-10T14:43:43-05:00","Desktop","5","review","2","Great tour!","We really enjoyed this tour. Lots of interesting historical facts and fun stories straight from an actual Harvard student. Beautiful campus with a lot of celeb alum to hear about. Much better than just walking around campus aimlessly. Highly recommend stopping by insomnia cookies (next to bookstore which is the last stop) afterwards for a warm chocolate chip cookie and milk!"
"2019-11-08T13:12:44-05:00","Desktop","5","review","2","very informative","The tours are led by current Harvard students, who take you around their campus and tell you all about it. The student we had was excellent. He was enthusiastic, entertaining, and had an abundance of energy. We walked around the campus and stopped at points along the way, finding out facts and information about the university that otherwise we wouldn't have found out. The visit was around two hours long, and there's no access to the inside of the university which was a shame. However, it was refreshing to see students who are so enthusiastic about their university, and proud enough to openly promote it to strangers. They really are a credit to their university. I would highly recommend this tour to anyone visiting Cambridge. Just don't make my mistake- I booked via Expedia, and was charged more than DOUBLE than I would've been had I paid on the day. Silly me falling for the ""these tickets are selling out"" scam and parting with double the money I should've."
"2019-11-06T21:19:44-05:00","Mobile","5","review","0","1st class tour","We were greeted with a warm welcome from our guide who is a current student at Harvard. The tour was approx 70mins. Some of the stops were to see and learn about the history of The Widener Library, John Harvard Statue, Harvard Hall, The Dorms. In between the time was filled with anecdotes on life at Harvard. The tour ends with a visit to the gift shop which is also staffed by current students.  Well worth the visit."
"2019-11-03T06:37:16-05:00","Mobile","4","review","0","Historical Legacy","Our visit to Harvard University was guided by a third year undergraduate. She toured us around the various University yards and regaled us with tales about the founding of the University and the origins of the student halls and historical buildings we passed. She encouraged questions about her own experience and displayed an energy and enthusiasm which made time. I was particularly impressed to learn about the foresight of the colonists in founding the educational establishment way back in 1636. "
"2019-10-30T17:33:28-04:00","Mobile","5","review","0","Fabulous walking tour","We had a lovely waking tour of the Harvard campus, guided by a Harvard sophomore called Luke. Luke was very personable and knowledgeable about Harvard and made the 70 minutes a very enjoyable time silent exploring the different world that is Harvard. Well worth doing! "
"2019-10-30T15:22:56-04:00","Mobile","4","review","0","Must visit in Boston","One of the places you must visit in Boston. Easy to get to , full of history and just fantastic to walk on the grounds of an iconic university"
"2019-10-30T07:08:54-04:00","Mobile","5","review","2","Harvard University historical tour","Harvard University Visitor Center gave us a very fine and informative tour. We were met by our student guide who went out of her way to answer our questions and make us dream of what it must be like to study on this famous campus. She had fun and moving anecdotes as well as personal testimonies to share with our group of 25 teenagers from Bayonne, France. We highly recommend the official Harvard University Visitor Center's tours."
"2019-10-27T20:29:19-04:00","Mobile","5","review","2","I mean - it’s Harvard","There are people rowing on the river. Students and proud parents holding hands, wearing Harvard shirts, backpacks, and pins. There’s  Harvard branding, books on how to get into Harvard, coffee shops. Cambridge is beautiful in peak Fall. "
"2019-10-27T15:42:42-04:00","Desktop","5","review","2","Beautiful!","Walked around the law campus and its plain beautiful!  Green lawns and beautiful buildings... Very historic and smacks of prestige.  Its a lovely area to walk around. "
"2019-10-23T04:43:45-04:00","Desktop","4","review","1","Great Scenic Place to Stroll!","This a very nice place to take a walk on a beautiful fall day. Lots of students and tourists milling about. The buildings are beautiful and historic. Lost to see and surrounded by cute shops and eateries!"
"2019-10-22T17:03:36-04:00","Desktop","4","review","4","Great to see this historical institution","Took the student led 'historical' tour.  I was disappointed by the tour itself, as we learned more about the classes she was taking than the history of Harvard.  It was interesting to get a student's perspective but not what I was expecting.  I did enjoy seeing the main highlights of campus but it was not what I expected - nothing grand, no main entrance, no Harvard sign.  However, when one thinks about the history and all the fabulous people that have studied there since 1636, you can't help but be impressed.  Glad we saw it."
"2019-10-21T06:32:02-04:00","Mobile","5","review","3","Was surprised at number of tour groups","Great place to walk around out side.

Huge number of tourists and tour groups doing same. It feels a bit like and educational Disneyland.

"
"2019-10-18T16:49:41-04:00","Desktop","4","review","0","Nice campus!","We enjoyed walking around the campus - it wasn't what I was expecting at all. I think I thought it might be more grand - but it was still very nice."
"2019-10-18T07:20:11-04:00","Desktop","5","review","2","Harvard Square and Harvard yard","What an awesome place to visit! It is bustling with students and people enjoying the vibrancy of the stores and all of the tradition that is Harvard. There are great things to see in the Science Hall and other buildings. We thoroughly enjoyed ourselves. We were disappointed that the iconic hamburger place was closed since we visited on a Monday. Definitely a great thing to do when you are in Boston."
"2019-10-13T10:07:59-04:00","Mobile","5","review","2","Reunion visit at the GSD","Wonderful to walk back through Harvard Yard and re-experience the energy and excitement. There’s no campus like that at Harvard! It’s a must if you’re in Cambridge!"
"2019-10-11T17:07:04-04:00","Mobile","4","review","0","Worth a look","As America’s oldest university it still looks very new and the thought that it all started in 1636 is amazing considering the condition of the area. 

If you are coming organize a walking tour to get the most from the experience. Local students do a great one hour tour which is more insightful than other stuffy tour companies. 

The number of libraries in the area (77) will give you some idea of the scale of the place but you can’t get into them which was a major disappointment for us as s sit down with a book of newspaper would have been great. I totally get that students are trying to study but limited access would have been nice. 

The area around the university is like a new town so pretty soulless in my opinion. Spend the time in the university grounds or if the weather is good walk along the Charles river. 

"
"2019-10-10T09:40:01-04:00","Desktop","5","review","2","Don't miss it","We were visiting Boston off a cruise ship so time was limited.  We had done our homework and looked online for the best way to get to Harvard on local transport.  This worked out very easily - bus and train.  Called in to the Student Information Centre and picked up a self-guided map - very comprehensive.  Would have liked a student led tour but no time.  We spent almost two hours looking around.  It was beautiful.  Far exceeded my expectations.  What a gorgeous place to study and Boston is brilliant too."
"2019-10-05T12:32:56-04:00","Desktop","5","review","19","Amazing","Amazing place. Didn't study there but had a tour and it was just great to imagine that I'm living there :) Great archiecture, lots of students..."
"2019-10-04T13:52:16-04:00","Desktop","5","review","0","Great food and service","Manager was very friendly and attentive to customers. Our server was wonderful. Selection of food was great."
"2019-10-01T06:21:02-04:00","Desktop","5","review","2","Amazing","We had an informative tour with , Olivia, a student guide who did a great job! I would recommend a guided tour to anyone visiting this historic and incredible University."
"2019-09-29T12:23:04-04:00","Mobile","5","review","1","So historic, just go","If you’re touring in Boston, why wouldn’t you go see this venerable 400 year university and take photos on the steps of Widener Library or Memorial Church or at the statue of John Harvard in Harvard Yard? The university’s resources are on full display on Oxford Street where many of the science buildings are located, including the extraordinary collection of glass flowers at the Harvard Museum of Natural History. Tour the nearby Law School campus then walk over to the Fogg Museum at 32 Quincy Street, recently reopened after a multimillion dollar makeover. It’s stunning and worth 1 or 2 hours to see the collections. Plan a half or full day - it’s worth it."
"2019-09-28T03:45:25-04:00","Mobile","5","review","48","A most prestigious university ","There's a river between a Harvard undergraduate campus and a commercial school. A building built in 1909 quietly experienced the baptism of years, with its tall Roman columns supports a globally renowned palace of knowledge."
"2019-09-26T13:22:13-04:00","Desktop","4","review","0","Great History","We had a great tour of the university and the old College. This place is full of history and had a big role in the development of Boston as a destination City. I found the story about John Harvard to be very interesting."
"2019-09-25T14:40:59-04:00","Mobile","5","review","2","Gorgeous Campus!!! ","Harvard is gorgeous and while we were visiting Boston we had to take the short 20 min trip to Cambridge. It has a small town feel; tons of restaurants and bars! And a ton of picture worthy spots! "
"2019-09-25T08:07:04-04:00","Mobile","5","review","0","Harvard University walking tour by students","Xiadi our tour guide was very entertaining but at the same time very informative!! Very knowledgeable on all the bits and trivias regarding the school campus. Stories to tell ur grandkids are very nice, and she is very good at that!! Ten stars for her!!!"
"2019-09-15T18:42:44-04:00","Mobile","3","review","2","I know it’s Harvard. It was ok","Since this was my first non-business trip to Boston, I had to see Harvard. I thought it would be greener and more luxurious. I’m glad I had the opportunity to visit, because my school days are over! "
"2019-09-15T12:27:00-04:00","Mobile","5","review","1","Very nice ","Such a nice visit!!! I wish I could actually study there! 
PS: careful the doors but one actually close at 6pm "
"2019-09-14T07:45:51-04:00","Desktop","5","review","0","Great place","The Harvard Yard is a beautifull place in Cambridge, MA. It's worth to see how does it looks the best university in the world. Also, there is a possibility to take a photo with John Harvard Statue."
"2019-09-10T16:56:38-04:00","Desktop","4","review","0","Beautiful campus","The campus was beautiful.  However, it was easy to get lost.  Minimal signage, hard to find your way around.  "
